Sample ID,Gene,Sample Name,NCGC Unique ID,Primary Mechanism of Action
NCGC00345822-01,AKT1,Akt-I-1         (Akt-I-1),FKCXKEHHZXEWGP,AKT Inhibitor
NCGC00263271-02,AURKA,MLN8237 (Alisertib),ZLHFILGSQDJULK,Aurora-A inhibitor
NCGC00346518-01,,Meropenem,DMJNNHOOLUXYBV,Carbapenem Antibiotic
NCGC00163470-09,,TACROLIMUS,QJJXYPPXXYFBGM,Macrolide Antibiotic
NCGC00163485-03,PIK3CA,Wortmannin,,PI3K Inhibitor
NCGC00346096-02,ROCK1,GSK429286A,OLIIUAHHAZEXEX,ROCK 1_:_ ROCK 2 Inhibitor
NCGC00229512-04,ITK,BMS-509744,ZHXNIYGJAOPMSO,ITK inhibitor
NCGC00346493-01,AURKA,AT9283,LOLPPWBBNUVNQZ,Aurora-A/B Inhibitor
NCGC00346489-01,,BTZ043 racemate,GTUIRORNXIOHQR,tuberculosis pathway inhibitor
NCGC00160514-03,,IDEBENONE,JGPMMRGNQUBGND,Free Radical Scavenger
NCGC00015848-04,MAOA,trans-2-Phenylcyclopropylamine hydrochloride,AELCINSCMGFISI,MAO-A/B Inhibitor
NCGC00346594-01,PLA2G5,Oleanolic Acid (Caryophyllin),AOWMBRPPHGNFDX,Secretory Phospholipase A2 (sPLA2) Inhibitors
NCGC00181303-02,,Neomycin sulfate,PGBHMTALBVVCIT,30S Ribosomal Protein Inhibitors
NCGC00166088-05,DNMT1,,XAUDJQYHKZQPEU,DNA Methyltransferase (DNMT) Inhibitor
NCGC00263173-03,PARP1,Rucaparib (AG-014699 _:_ PF-01367338),HMABYWSNWIZPAG,PARP-1/PARP-2 Inhibitor
NCGC00346710-01,,Bindarit,MTHORRSSURHQPZ,non-steroidal antiinflammatory
NCGC00016488-03,,6-Furfurylaminopurine,QANMHLXAZMSUEX,plant hormone
NCGC00185090-03,APE1,NCGC00185090-04,MODNMLYGANOZDZ,APE1 inhibitor
NCGC00018139-08,,Ipriflavone,SFBODOKJTYAUCM,Treatment of Osteoporosis
NCGC00091268-11,,OXYTETRACYCLINE,IWVCMVBTMGNXQD,Tetracycline Antibiotic
NCGC00024594-01,PSMD1,Calpeptin,PGGUOGKHUUUWAF,Proteasome Inhibitor
NCGC00346726-01,,Cyclocytidine HCl,BBDAGFIXKZCXAH,antiviral
NCGC00165783-02,,DMXAA (ASA404),XGOYIMQSIKSOBS,Interferon Inducer
NCGC00250383-01,ERN1,Irestatin 9389,PPKYBLJPUZGDGQ,IRE1alpha/XBP-1 inhibitor
NCGC00345846-01,JAK2,TG-46,NNJLBENMZUBXHU,Jak2 inhibitor
NCGC00182868-02,NAMPT,Daporinad;APO-866;FK-866,KPBNHDGDUADAGP,NMPRTase Inhibitor
NCGC00242506-02,PSMD1,Bortezomib,GXJABQQUPOEUTA,Proteasome Inhibitor
NCGC00160527-05,HTR4,Mosapride citrate,YPELFRMCRYSPKZ,5-HT4 Antagonists
NCGC00164613-03,AKR1B1,Epalrestat,CHNUOJQWGUIOLD,Aldose Reductase Inhibitor
NCGC00263017-01,TLR7,CPG-52364,TUOZJWZCVIRDKO,TLR 7_:_ 8 and 9 antagonist
NCGC00347954-01,SHH,,VFSUUTYAEQOIMW,Hedgehog agonist
NCGC00345855-01,JAK1,GPLG0634,LFKRLUYNGIVHKD,Jak1 Inhibitor
NCGC00346874-01,,CI 988,FVQSSYMRZKLFDR,CCK2 (CCKB/Gastrin) Antagonists
NCGC00015149-15,,BUMETANIDE,GXZSSBJRQQVGBT,Loop Diuretics
NCGC00016879-07,,Torsemide (Demadex),VJWSBMXKTXHWQQ,Loop Diuretics
NCGC00182851-01,,Meprednisone,PIDANAQULIKBQS,Glucocorticoid steroid
NCGC00182045-02,ADA,Pentostatin;CI-825;CL-67310465;Coforin;NSC-218321;Nipent;Oncopent;PD-81565;YK-176,FPVKHBSQESCIEP,Adenosine Deaminase Inhibitor
NCGC00346740-01,ADRA1A,Tamsulosin hydrochloride,WQZOWNCWWCPWHL,alpha1-Adrenoceptor Antagonists
NCGC00015036-08,DRD1,AMANTaDINE,DKNWSYNQZKUICI,Dopamine Receptor Agonist
NCGC00242491-02,CXCR2,SB 265610,SEDUMQWZEOMXSO,CXCR2 Antagonist
NCGC00346695-01,FLT1,MK-2461,CNIPSLYLSVCVKY,VEGFR-1 (Flt-1) Inhibitors
NCGC00346431-01,GAPDH,CGP 3466B maleate;omigapil,QLMMOGWZCFQAPU,Glyceraldehyde 3-phosphate Dehydrogenase (GAPDH) Inhibitors
NCGC00346538-01,,Natamycin (Pimaricin),NCXMLFZGDNKEPB,Antifungal Agent
NCGC00015159-06,ADRB1,Betaxolol,NWIUTZDMDHAVTP,beta1-Adrenoceptor Antagonists
NCGC00346512-01,,BMS-707035,QGVZPVNRMGXYBR,HIV Integrase Inhibitors
NCGC00345810-01,CDA,Tetrahydrouridine,UCKYOOZPSJFJIZ,Cytidine Deaminase Inhibitors
NCGC00242504-01,,Cortivazol,ABBZCJLJVANSLA,Glucocorticoid Receptor (GR) Agonist
NCGC00181098-01,,Nelarabine,IXOXBSCIXZEQEQ,Antimetabolite
NCGC00253646-01,HTR2C,Agomelatine,YJYPHIXNFHFHND,5-HT2C Antagonists
NCGC00263157-01,MET,BMS-777607,VNBRGSXVFBYQNN,HGFR (MET; c-Met) Inhibitor
NCGC00167430-03,,TIOCONAZOLE,QXHHHPZILQDDPS,Antifungal Agent
NCGC00160165-01,,USNIC ACID,ICTZCAHDGHPRQR,adrenergenic receptor antagaonist
NCGC00250398-01,MTOR,PF-05212384;PKI-587,CYXYNDAHNRFPMP,mTOR inhibitor
NCGC00346580-01,TUBB,Vinflunine Tartrate,NMDYYWFGPIMTKO,Tubulin polymerization inhibitor
NCGC00091823-05,FLT1,CHRYSOPHANOL,LQGUBLBATBMXHT,VEGFR-1/2 Inhibitor
NCGC00242484-02,MTOR,WYE-354,IMXHGCRIEAKIBU,mTORC1/2 inhibitor
NCGC00263196-01,RPS6KB1,S6K-18,BSRFCMMJUFQEOX,p70 ribosomal S6 kinase (S6K1) inhibitor
NCGC00183434-03,CASP1,,KENKPOUHXLJLEY,Caspase 1 Inhibitors
NCGC00179250-04,,Halofantrine,FOHHNHSLJDZUGQ,antimalarial agents
NCGC00179034-08,,4_:_4 -(Pentane-1_:_5-diylbis(oxy))dibenzimidamide,XDRYMKDFEDOLFX,PRL Phosphatase Inhibitors
NCGC00250377-01,PRKDC,NU-7441,JAMULYFATHSZJM,DNA-Dependent Protein Kinase (DNA-PK) Inhibitor
NCGC00346444-01,ATR,VE-821   ,GEXYTIAHHADEFM,ATR Kinase Inhibitors
NCGC00166076-06,,ARBUTIN,BJRNKVDFDLYUGJ,Free Radical Scavenger
NCGC00229704-01,TYMS,Raltitrexed,IVTVGDXNLFLDRM,thymidylate synthase inhibitor
NCGC00167506-03,,Pimecrolimus,KASDHRXLYQOAKZ,Macrolide Antibiotic
NCGC00263208-01,BCL2L1,TW-37,WBSVTBWVLLDTMU,Bcl-xL inhibitor/Mcl-1 inhibitor
NCGC00346656-01,CDK1,Dinaciclib (SCH727965),PIMQWRZWLQKKBJ,CDK1/2/5/9 inhibitor
NCGC00025060-16,DHFR,Abitrexate (Methotrexate),FBOZXECLQNJBKD,Dihydrofolate Reductase (DHFR) Inhibitors
NCGC00015257-06,PPARA,Clofibrate,KNHUKKLJHYUCFP,PPARalpha Agonist
NCGC00091032-08,AR,Cyproterone acetate,UWFYSQMTEOIJJG,Androgen Receptor Antagonist
NCGC00095245-01,AR,TESTOSTERONE PROPIONATE,PDMMFKSKQVNJMI,Androgen Receptor Agonist
NCGC00346639-01,NFKB1,Dimethyl Fumarate,LDCRTTXIJACKKU,NFkappaB-inducing kinase Inhibitor
NCGC00159422-02,,Tiopronin,YTGJWQPHMWSCST,Copper Chelator
NCGC00346482-01,,Dimesna,VNAGYFARZFGOFG,chemoprotective agent
NCGC00242056-02,IKBKB,IKK-3 Inhibitor IX,LDTAHRLHGHFHKP,IKK-3 Inhibitor
NCGC00016360-05,,MONOBENZONE,VYQNWZOUAUKGHI,topical medical depigmentation treatment
NCGC00164629-03,,Alibendol,UMJHTFHIQDEGKB,treatments of indigestin_:_ nausea
NCGC00159336-05,,Sulbactam,UPSQWEOSSAAAHC,beta-Lactamase Inhibitor
NCGC00346889-01,,PF 3716556,YBHKBMJREUZHOV,H+/K+-ATPase Inhibitor
NCGC00346499-01,AR,Ostarine (MK-2866),JNGVJMBLXIUVRD,Selective Androgen Receptor Modulators (SARM)?
NCGC00015163-08,DDC,BENSERAZIDE HYDROCHLORIDE,BNQDCRGUHNALGH,DOPA decarboxylase inhibitor
NCGC00182055-02,ER,Bazedoxifene;TSE-424/WAY-140424,UCJGJABZCDBEDK,Selective Estrogen Receptor Modulators (SERM)
NCGC00346725-01,AR,ARN-509,HJBWBFZLDZWPHF,Androgen Receptor Antagonists
NCGC00179244-04,CA2,Dorzolamide HCL,UFCODOWYHPCGCL,Carbonic Anhydrase Type II Inhibitors
NCGC00345805-01,STAT3,STX-0119   ,MNPXTRXFUMGQLK,STAT-3 Inhibitor
NCGC00345839-01,JAK2,Baricitinib phosphate salt  (INCB-28050_:_    LY3009104),KGHHTVPQWVRJGG,Jak2 inhibitor
NCGC00016371-05,CA1,Dichlorphenamide (Diclofenamide),BSXUYTXOUOKRQV,Carbonic Anhydrase Type Inhibitor
NCGC00160515-03,GAA,ACARBOSE,XUFXOAAUWZOOIT,alpha-Glucosidase Inhibitors
NCGC00178698-04,,OSELTAMIVIR PHOSPHATE,VSZGPKBBMSAYNT,Neuraminidase (Sialidase) Inhibitors
NCGC00263221-01,GSTP1,Ezatiostat,GWEJFLVSOGNLSS,Glutathione-s-transferase P1 (GSTP1) Inhibitor
NCGC00345817-01,MMP1,GM-6001,SVPQWSUSBRNQBI,MMP Inhibitor
NCGC00346934-01,ELA2,Sivelestat,JIODRNUYULYNKE,Leukocyte Elastase Inhibitor
NCGC00181785-01,TACR1,Aprepitant;L-754030 /MK-0869/ONO-7436,ATALOFNDEOCMKK,Tachykinin NK1 Antagonist
NCGC00095899-04,HTR1B,Rizatriptan Benzoate (Maxalt),ULFRLSNUDGIQQP,5-HT1B Agonist
NCGC00095109-06,HTR1A,VENLAFAXINE,PNVNVHUZROJLTJ,5-HT Reuptake Inhibitor
NCGC00345784-01,PAK4,PF-3758309,AYCPARAPKDAOEN,p21-Activated Kinase 4 (PAK4) Inhibitors
NCGC00263565-02,PGR,Gestodene,SIGSPDASOTUPFS,Progestogen hormone
NCGC00346730-01,EDNRA,Ambrisentan,OUJTZYPIHDYQMC,Endothelin ETA Receptor Antagonist
NCGC00015242-12,,CHLOROTHIAZIDE,GEAKDLJXQWCJSJ,hypertension treatment
NCGC00163318-03,FGF2,SURAMIN,GTCRKBMTGCSJTB,Fibroblast Growth Factor (FGF) Inhibitors
NCGC00179642-04,,Isoconazole nitrate (Travogen),MPIPASJGOJYODL,Antifungal Agent
NCGC00018258-09,,ECONAZOLE NITRATE,LEZWWPYKPKIXLL,Antifungal Agent
NCGC00015500-10,DRD2,Haloperidol,LNEPOXFFQSENCJ,Dopamine D2 Antagonist
NCGC00092288-01,MYH2,Blebbistatin,LZAXPYOBKSJSEX,myosin II ATPase inhibitor
NCGC00346629-01,,S/GSK1349572 (GSK1349572),RHWKPHLQXYSBKR,HIV Integrase Inhibitors
NCGC00346835-01,NOS2,2-Iminobiotin,WWVANQJRLPIHNS,Inducible Nitric Oxide Synthase (NOS-2) Inhibitors
NCGC00015444-04,DRD1,Fenoldopam,TVURRHSHRRELCG,Dopamine D1 Agonist
NCGC00025059-04,PRKDC,Actinomycin D,RJURFGZVJUQBHK,DNA-Directed RNA Polymerase Inhibitor
NCGC00021305-08,MTOR,Rapamycin,QFJCIRLUMZQUOT,mTOR inhibitor
NCGC00241104-01,MAPK14,Doramapimod;BIBR-796?,MVCOAUNKQVWQHZ,p38 MAPK Inhibitor
NCGC00263180-01,MAP2K1,Trametinib;GSK-1120212B/JTP-74057,LIRYPHYGHXZJBZ,Mek 1/2 inhibitor
NCGC00346679-01,,GW788388,SAGZIBJAQGBRQA,TGF-bR1 (ALK5) Inhibitor
NCGC00346579-01,PIK3CA,PIK-293,KQDBVHKNIYROHU,PI3K Inhibitor
NCGC00015478-08,BRAF,,LMXYVLFTZRPNRV,Raf Kinase Inhibitors
NCGC00178529-03,TOP2B,Levofloxacin (Levaquin),GSDSWSVVBLHKDQ,DNA Topoisomerase IV Inhibitors
NCGC00346947-01,PDPK1,PDK1 inhibitor,GCWCGSPBENFEPE,Phosphoinositide Dependent Kinase (PDK) 1 Inhibitors
NCGC00346475-01,XIAP,Birinapant,PKWRMUKBEYJEIX,IAP Inhibitor
NCGC00017354-06,,SPECTINOMYCIN HYDROCHLORIDE,UNFWWIHTNXNPBV,Antibiotic
NCGC00346887-01,GRIN2A,TCN 201,VFWGDGFMXIEDBM,NMDA Antagonist
NCGC00065890-07,TERT,Nevirapine (Viramune),NQDJXKOVJZTUJA,Reverse Transcriptase Inhibitor
NCGC00165898-02,,SD-208,BERLXWPRSBJFHO,TGF-bR1 (ALK5) Inhibitor
NCGC00253438-01,PLK1,BI-2536,XQVVPGYIWAGRNI,Polo-like Kinase-1 (Plk-1) Inhibitor
NCGC00165768-02,CHEK2,,UXGJAOIJSROTTN,Checkpoint Kinase 2 (Chk2) Inhibitors
NCGC00346676-01,AURKA,CCT137690,GFLQCBTXTRCREJ,Aurora-A/B/C Kinase Inhibitor
NCGC00343768-01,CHEK1,,SYYBDNPGDKKJDU,Chk1 Inhibitor
NCGC00263218-02,MMP2,Teriflunomide;A-771726/HMR-1726,UTNUDOFZCWSZMS,MMP-2_:_ 9 Inhibitor
NCGC00249611-03,PSMD1,MLN2238,MXAYKZJJDUDWDS,Proteasome Inhibitor
NCGC00344622-02,,,IQCKJUKAQJINMK,DOT1L Inhibitor
NCGC00016831-04,,BUFLOMEDIL HYDROCHLORIDE,OWYLAEYXIQKAOL,vasodilator
NCGC00096081-03,,beta-CAROTENE,OENHQHLEOONYIE,Vitamin/Supplement
NCGC00188943-04,,Orotic acid (6-Carboxyuracil),PXQPEWDEAKTCGB,metabolite
NCGC00159459-02,IMPDH1,Mycophenolate mofetil,RTGDFNSFWBGLEC,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors
NCGC00263186-02,PIM1,SGI-1776 free base,MHXGEROHKGDZGO,Pim-1/Flt3 Inhibitor
NCGC00015675-03,PDE3A,Milrinone,PZRHRDRVRGEVNW,Phosphodiesterase III (PDE3) Inhibitor
NCGC00015673-08,,Minoxidil,ZFMITUMMTDLWHR,K(ATP) Channel Activators
NCGC00263200-01,TYK2,RO495,LNGDQKGREFSTHB,Tyk 2 inhibitor
NCGC00347949-01,WNT5A,,LXFKEVQQSKQXPR,Wnt Signaling Inhibitor
NCGC00346612-01,GRM2,LY2140023 (LY404039),PKSYHGURNZLSKW,mgluR2/3 Agonists
NCGC00242503-01,CPA1,Meclinertant;Reminertant;SR-48692,DYLJVOXRWLXDIG,Carboxypeptidase A Inhibitor
NCGC00345826-01,MAPK8,CC-401,XDJCLCLBSGGNKS,JNK Inhibitor
NCGC00015096-11,,Amiodarone,IYIKLHRQXLHMJQ,Muscarinic M3 Receptor Ligand
NCGC00345844-01,TYK2,Bayer-18        ,DYNMZYFOSRSMAC,Tyk 2 inhibitor
NCGC00179308-05,,Fluticasone propionate (Flonase_:_ Veramyst),WMWTYOKRWGGJOA,Corticosteroid
NCGC00184997-01,,Raltegravir,CZFFBEXEKNGXKS,HIV Integrase Inhibitors
NCGC00022037-06,PGR,Medroxyprogesterone acetate,PSGAAPLEWMOORI,Progesterone Receptor Agonist
NCGC00346558-01,ADRA1A,Silodosin (Rapaflo),PNCPYILNMDWPEY,alpha1-Adrenoceptor Antagonists
NCGC00346658-01,PDGFRB,Crenolanib (CP-868596),DYNHJHQFHQTFTP,PDGFR beta inhibitor
NCGC00346942-01,EGFR,WHI-P97,YVCXQRVVNQMZEI,EGFR (HER1; erbB1) Inhibitor
NCGC00241101-02,EGFR,Neratinib (HKI-272),JWNPDZNEKVCWMY,EGFR (HER1; erbB1) inhibitor
NCGC00344391-02,PTGDR2,TM-30089,VFBOFHRHJGPKQR,prostaglandin D2 CRTH2 inhibitor
NCGC00017312-03,,Uridine,DRTQHJPVMGBUCF,Anti-anxiety drug
NCGC00015989-16,TNF,THALIDOMIDE,UEJJHQNACJXSKW,TNF-alpha Production Inhibitors
NCGC00142599-02,,Stigmasterol (Stigmasterin),HCXVJBMSMIARIN,Steroid hormone
NCGC00263532-03,,Olopatadine hydrochloride (Opatanol),JBIMVDZLSHOPLA,Mediator Release Inhibitors
NCGC00015977-02,SLC6A1,SKF 89976A hydrochloride,TXQKSMSLZVKQBI,GAT-1 Inhibitor
NCGC00346574-01,TUBB,CYT997,MTJHLONVHHPNSI,Tubulin depolymerization inhibitor
NCGC00249685-02,,Dovitinib;CHIR-258/NVP-TKI258/TKI-258,PIQCTGMSNWUMAF,FGFR inhibitor
NCGC00346635-01,MTOR,WYE-125132,QLHHRYZMBGPBJG,mTORC1/2 inhibitor
NCGC00160398-04,TPSAB1,NAFAMOSTAT MESILATE,MQQNFDZXWVTQEH,Tryptase Inhibitors
NCGC00091112-08,,GENTIAN VIOLET,LGLFFNDHMLKUMI,TNFR1 (p55/CD120a) Modulator
NCGC00346670-01,MET,AMG458,GLBZSOQDAOLMGC,HGFR (MET; c-Met) Inhibitor
NCGC00346625-01,PIK3CG,CAY10505,UFBTYTGRUBUUIL,PI3K gamma Inhibitor
NCGC00346450-01,AKT1,Tricyclic Nucleoside Monophosphate (TCN-P),URLYINUFLXOMHP,PKB/Akt Inhibitor
NCGC00346622-01,SYK,R788 (Fostamatinib),GKDRMWXFWHEQQT,Syk Kinase inhibitor
NCGC00249388-01,,LY2157299,PBLNPFVCOVYAKI,TGF-bR1 (ALK5) and TGFbR2 inhibitor
NCGC00346526-01,AURKA,PHA-680632,OBWNXGOQPLDDPS,Aurora-A/B/c Inhibitor
NCGC00346964-01,FLT3,HMSL10084,DGEBYERMQBTMHV,FLT3
NCGC00091835-09,,MECHLORETHAMINE,HAWPXGHAZFHHAD,DNA Alkylating Agent
NCGC00183876-01,TERT,Tenfovir disoproxil fumarate,JFVZFKDSXNQEJW,Reverse Transcriptase Inhibitor
NCGC00161398-01,NTRK1,GW 441756,NXNQLECPAXXYTR,Tropomyosin Related Kinase A (TrkA) inhibitor
NCGC00263280-01,HSPA2,Ac-SAH-p53-8 ,ZXDJSIREXBJLTD,HDM2/HDMX inhibitor
NCGC00178840-06,,Cloxacillin sodium,LQOLIRLGBULYKD,beta-lactam antibiotic
NCGC00091011-09,,Chloramphenicol (Chloromycetin),WIIZWVCIJKGZOK,Antibiotic
NCGC00263130-01,PCK1,cPEPCK inhibitor ,JHSHXKJSPVHPCJ,cPEPCK inhibitor
NCGC00271534-03,,Nateglinide (Starlix),OELFLUMRDSZNSF,Insulin Secretagogues
NCGC00163107-06,NR1I3,CITCO,ZQWBOKJVVYNKTL,Constitutive androstane receptor agonist
NCGC00263132-02,CHEK1,PF-477736,NDEXUOWTGYUVGA,Chk1 Inhibitor
NCGC00345803-01,IMPDH1,AVN-944,GYCPCOJTCINIFZ,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors
NCGC00183044-01,,Minocycline,ZZZRUAITSXLWBH,Tetracycline Antibiotic
NCGC00346435-01,PARP1,MK-4827,PCHKPVIQAHNQLW,PARP-1/PARP-2 Inhibitor
NCGC00246966-03,,Flubendazole (Flutelmium),CPEUVMUXAHMANV,antiparasitic agent
NCGC00016641-01,,Streptomycin sulfate,UCSJYZPVAKXKNQ,30S Ribosomal Protein Inhibitors
NCGC00188865-02,CERS1,Pazopanib;GSK-786034/Votrient/Armala,XPUJIFWTVXGLRJ,multi-kinase
NCGC00346468-01,AR,17 alpha-propionate,GPNHMOZDMYNCPO,Androgen Receptor Antagonist
NCGC00263182-02,HDAC1,Mocetinostat (MGCD0103),HRNLUBSXIHFDHP,Histone Deacetylase (HDAC) 1 Inhibitor
NCGC00016991-06,,PROPARACAINE HYDROCHLORIDE,KCLANYCVBBTKTO,Sodium channel inhibitor
NCGC00346520-01,,Bimatoprost,AQOKCDNYWBIDND,prostaglandin
NCGC00344508-01,CASR,NPS R568,ZVQUCWXZCKWZBP,Calcium-Sensing Receptor (CaSR) Agonists
NCGC00250378-01,HTR4,Piboserod hydrochloride;SB-207266A,KVCSJPATKXABRQ,5-HT4 Antagonists
NCGC00015823-18,PTGS1,PIROXICAM,IAPMPNKHZPZVQU,Cyclooxygenase Inhibitor
NCGC00346504-01,NOTCH1,BMS-708163 (Avagacestat),SBTQVSZTFFUILD,g-Secretase Inhibitor
NCGC00346592-01,PDE5A,Icariin,TZJALUIVHRYQQB,Phosphodiesterase V (PDE5) inhibitor
NCGC00162094-04,,BETAMETHASONE,UREBDLICKHMUKA,Glucocorticoid steroid
NCGC00160531-01,HMGCR,ATORVASTATIN CALCIUM,XUKUURHRXDUEBC,HMG-CoA Reductase Inhibitor
NCGC00263122-01,NIACR1,MK-0354,LTQYSJKGRPGMPO,Nicotinic Acid Receptor Partial Agonist
NCGC00015672-01,CYP1A2,Morin,YXOLAZRVSSWPPT,Cytochrome P450 CYP1A2 Inhibitor
NCGC00015766-08,ADRA1A,Oxymetazoline,WYWIFABBXFUGLM,alpha1A/2A-Adrenoceptor Agonists
NCGC00016241-11,,FUROSEMIDE,AEWUPPZRKSYATO,Loop Diuretics
NCGC00159356-02,,Nandrolone phenpropionate,UBWXUGDQUBIEIZ,Steroid hormone
NCGC00015321-04,ADRB1,Dobutamine,JRWZLRBJNMZMFE,beta1-Adrenoceptor Antagonists
NCGC00167746-01,CHRNA7,PNU120596,CEIIEALEIHQDBX,Nicotinic alpha7 Positive Allosteric Modulators
NCGC00346485-01,IGFR1,NVP-ADW742,LSFLAQVDISHMNB,IGF-1R Inhibitor
NCGC00022858-07,,CROMOLYN SODIUM,IMZMKUWMOSJXDT,Mediator Release Inhibitors
NCGC00015479-20,TOP2A,GENISTEIN,TZBJGXHYKVUXJN,DNA Topoisomerase II Inhibitors
NCGC00346461-01,IGFR1,NVP-AEW541,AECDBHGVIIRMOI,IGF-1R Inhibitor
NCGC00167768-02,FLT1,Ki8751,LFKQSJNCVRGFCC,VEGFR-2 inhibitor
NCGC00015245-07,,CARBAMYL-BETA-METHYLCHOLINE Cl,NZUPCNDJBJXXRF,Muscarinic receptor Agonists
NCGC00162423-04,ADH1A,Mithramycin A,YYLMAPWKLCSQNP,Alcohol Dehydrogenase Inhibitor
NCGC00345795-01,AKT1,AZD-5363,JDUBGYFRJFOXQC,PKB/Akt Inhibitor
NCGC00241342-02,CLK1,,JQSJAVBMIMDUFO,Clk Inhibitor
NCGC00346543-01,MAP2K5,BIX 02188,BQNHHYZMVCQLJG,Mek 5 Inhibitor
NCGC00018185-07,TNF,tranilast hydrate,NZHGWWWHIYHZNX,TNF-alpha Production Inhibitor
NCGC00167785-02,CASP3,PAC-1,YQNRVGJCPCNMKT,Procaspase 3 Activator
NCGC00346492-01,PIK3CA,XL147,QAUOFULMCMFYJP,PI3K Inhibitor
NCGC00346893-01,RPS6KA1,SL 0101-1,SXOZSDJHGMAEGZ,MAPKAP-K1 (RSK; p90Rsk) Inhibitor
NCGC00346437-01,TOP2A,Voreloxin Hydrochloride,XZAFZXJXZHRNAQ,DNA Topoisomerase II Inhibitors
NCGC00346477-01,CASP1,,SCVHJVCATBPIHN,Caspase Inhibitors
NCGC00242501-01,TRIO,ITX3,SJMYMKPBODEZSH,Triple Functional Domain Protein (TRIO) Inhibitor
NCGC00346508-01,PIK3CA,TG100-115,UJIAQDJKSXQLIT,PI3K Inhibitor
NCGC00178499-03,,Cefdinir (Omnicef),RTXOFQZKPXMALH,Cephalosporin antibiotic
NCGC00167558-01,,Fleroxacin,XBJBPGROQZJDOJ,Quinoline Antibiotic
NCGC00179501-04,,Hesperidin,QUQPHWDTPGMPEX,Free Radical Scavenger
NCGC00015962-02,MAPK14,SB 202190,QHKYPYXTTXKZST,p38 MAPK Inhibitor
