Sample ID,Structure,Sample Name,Drug Name,NCGC Unique ID,Primary Mechanism of Action,Gene Symbol
NCGC00160514-03,COC\1=C(/OC)C(=O)\C(=C(C)/C1=O)CCCCCCCCCCO,IDEBENONE,,JGPMMRGNQUBGND,Free Radical Scavenger,
NCGC00015848-04,NC1CC1C2=CC=CC=C2,trans-2-Phenylcyclopropylamine hydrochloride,,AELCINSCMGFISI,MAO-A/B Inhibitor,MAOA
NCGC00346594-01,CC1(C)C[C@H](C2CC[C@]3(C)\C(=C/C[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1)C(O)=O,Oleanolic Acid (Caryophyllin),,AOWMBRPPHGNFDX,Secretory Phospholipase A2 (sPLA2) Inhibitors,PLA2G5
NCGC00181303-02,N[C@@H]1[C@H]([C@@H]([C@@H](O[C@@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@H]4O)[C@@H]([C@H](C[C@H]4N)N)O[C@H]([C@@H]3N)O[C@@H]([C@H]([C@@H]3O)O)CN)O[C@@H]2CO)O)CN)O)O.O=S(O)(O)=O.O=S(O)(O)=O.O=S(O)(O)=O,Neomycin sulfate,"Proctosedyl suppository;CIPLUS_207582;CIPLUS_3885417;Neomycine;METHYLPREDNISOLONE SODIUM SUCCINATE;neomycin C;nivemycin;CIPLUS_203775;Sofratulle;CIPLUS_769520;DEXAMETHASONE SODIUM PHOSPHATE;METHYLPREDNISOLONE;Sulfate, Fradiomyci;Proctosedyl;NEO-HYDELTRASOL;framycetine;Neomycin Palmitate;NEOMYCIN B, SULFATE (SALT);Framycetinum;neomycinum;Fradiomycin sulfate;Neomycin solution;D-Streptamine, O-2,6-diamino-2,6-dideoxy-alpha-D-glucopyranosyl-(1-4)-O-(O-2,6-glucopyranosyl-(1-4)-O-(O-2,6-diamino-2,6-dideoxy-alpha-D-glucopyranosyl-(1-3)-beta-D-ribofuranosyl-(1-5))-2-deoxy-;(1R,2R,3S,4R,6S)-4,6-DIAMINO-2-((3-O-(2,6-DIAMINO-2,6-DIDEOXY-.BETA.-L-IDOPYRANOSYL)-.BETA.-D-RIBOFURANOSYL)OXY)-3-HYDROXYCYCLOHEXYL 2,6-DIAMINO-2,6-DIDEOXY-.ALPHA.-D-GLUCOPYRANOSIDE;Sulfate, Neomyci;LS-178601;LS-178600;LS-178603;Sulfate, Neomycin;D-STREPTAMINE, O-2,6-DIAMINO-2,6-DIDEOXY-.ALPHA.-D-GLUCOPYRANOSYL-(1->4)-O-(O-2,6-DIAMINO-2,6-DIDEOXY-.BETA.-L-IDOPYRANOSYL-(1->3)-.BETA.-D-RIBOFURANOSYL-(1->5))-2-DEOXY-, SULFATE (SALT);Neomycin B trisulfate  hydrate;Framycetine;NCGC_Prestw-158;Neomycin sulfate;NCGC00016581-01;CIPLUS_774369;neomycin C monohydrochloride;CIPLUS_207321;Proctosedyl ointment;LS-96091;LS-96096;NEOMYCIN SULFATE  (CREAM);NEOMYCIN B;LS-96095;NEOMYCIN B SULFATE;NEOMYCIN SULFATE;.ALPHA.-D-GLUCOPYRANOSIDE, (1R,2R,3S,4R,6S)-4,6-DIAMINO-2-((3-O-(2,6-DIAMINO-2,6-DIDEOXY-.BETA.-L-IDOPYRANOSYL)-.BETA.-D-RIBOFURANOSYL)OXY)-3-HYDROXYCYCLOHEXYL 2,6-DIAMINO-2,6-DIDEOXY-;NCGC00095265-01;NCGC00095265-02;D-Streptamine, O-2,6-diamino-2,6-dideoxy-alpha-D-glucopyranosyl-(1-4)-O-(O-2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl-(1-3)-beta-D-ribofuranosyl-(1-5))-2-deoxy-;framygen;Neomycin Sulfate;NEO-DELTA-CORTEF;Neomycin palmitate;NEOMYCIN;Framycetin Sulfate;CIPLUS_158283;neomycine;NEO-CORT-DOME;LS-147017;NEO-SYNALAR;CIPLUS_3853417;Mycifradin;FRAMYCETIN;Neomycinum;PROCTOSEDYL;FRAMYCETIN SULFATE;CIPLUS_743120;Framicetina;NEOMYCIN PALMITATE;framycetinum;Fradiomycin Sulfate;framycort;CORDRAN-N;HS_993;Neomycin C;Neomycin B;Neomycin A;HYDROCORTISONE ACETATE;Neomycin B hydrochloride;LS-178596;LS-178597;LS-178595;LS-178519;LS-178593;NEOMYCIN SULFATE  (OINTMENT);Neomycin;NEOMYCIN SULFATE-TRIAMCINOLONE ACETONIDE;LS-178598;LS-178599;Sulfate, Framyceti;Neomycin B Sulfate;Neomycin B, monohydrochloride;Soframycin;Framycetin;Antibiotic 10676;Pregn-4-ene-3,20-dione, 21--(acetyloxy)-11,17-dihydroxy-, (11beta)-, mixt. with O-2,6-diamino-2,6-dideoxy-alpha-D-glucopyranosyl-(1-4)-O-(O-2,6-diamino-2,6-dideoxy-beta-L-idopyranosyl-(1-3)-beta-D-ribofuranosyl-(1-5))-2-deoxy-D-streptamine;Palmitate, Neomyci;NEO-MEDROL ACETATE;CIPLUS_786808;CIPLUS_151525;",PGBHMTALBVVCIT,30S Ribosomal Protein Inhibitors,
NCGC00166088-05,NC\1=N\C(=O)N(\C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2,,,XAUDJQYHKZQPEU,DNA Methyltransferase (DNMT) Inhibitor,DNMT1
NCGC00263173-03,CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=CC(=CC(=C34)[NH]2)F,"Rucaparib (AG-014699 , PF-01367338)",,HMABYWSNWIZPAG,PARP-1/PARP-2 Inhibitor,PARP1
NCGC00346710-01,CC(C)(OCC1=N[N](CC2=CC=CC=C2)C3=C1C=CC=C3)C(O)=O,Bindarit,,MTHORRSSURHQPZ,non-steroidal antiinflammatory,
NCGC00016488-03,C(NC1=C2NC=NC2=NC=N1)C3=CC=CO3,,Kinetin solution;6-Furfurylaminopurine (Kinetin);6 Furfurylaminopurin;Kinetin hydrochloride;KINETIN;NCGC_Prestw-659;6-Furfuryladenine;NCGC00094553-02;NCGC00094553-03;6-Furfurylaminopurine;NCGC00094553-01;6 Furfuryladenin;Kinetin;CIPLUS_203650;N6-Furfuryladenine;NCGC00016488-01;,QANMHLXAZMSUEX,plant hormone,
NCGC00185090-03,CC(=O)NC1=C(C2=C(CNC2)S1)C3=NC4=C(S3)C=CC=C4,NCGC00185090-04,,MODNMLYGANOZDZ,APE1 inhibitor,APE1
NCGC00018139-08,CC(C)OC1=CC=C2C(=C1)O\C=C(/C2=O)C3=CC=CC=C3,Ipriflavone,,SFBODOKJTYAUCM,Treatment of Osteoporosis,
NCGC00091268-11,CN(C)[C@H]\1[C@@H]2[C@@H](O)[C@H]3\C(=C(O)/[C@]2(O)C(=O)\C(=C1O)C(N)=O)C(=O)C4=C(C=CC=C4O)[C@@]3(C)O,OXYTETRACYCLINE,,IWVCMVBTMGNXQD,Tetracycline Antibiotic,
NCGC00024594-01,CCCCC(NC(=O)C(CC(C)C)NC(=O)OCC1=CC=CC=C1)C=O,Calpeptin,"Carbamic acid, (1-(((1-formylpentyl)amino)carbonyl)-3-methylbutyl)-, phenylmethyl ester, (S-(R*,R*))-;CIPLUS_215618;benzylcarbonyl-Leu-nLeu-H;N-CBZ-Leu-nLeu-al;LS-172355;calpeptin;NCGC00163432-01;Calpeptin;NCGC00024594-01;",PGGUOGKHUUUWAF,Proteasome Inhibitor,PSMD1
NCGC00346726-01,OC[C@H]1O[C@@H]2[C@@H](OC\3=N\C(=N)\C=C/[N@@]23)[C@@H]1O,Cyclocytidine HCl,,BBDAGFIXKZCXAH,antiviral,
NCGC00165783-02,CC1=C(C)C2=C(C=C1)C(=O)C3=C(O2)C(=CC=C3)CC(O)=O,DMXAA (ASA404),,XGOYIMQSIKSOBS,Interferon Inducer,
NCGC00250383-01,CC1=CSC(=N1)NC(=O)C2=C(N)C3=C(S2)N=C4CCCC4=C3C(F)(F)F,Irestatin 9389,,PPKYBLJPUZGDGQ,IRE1alpha/XBP-1 inhibitor,ERN1
NCGC00345846-01,CC1=C(NC2=CC=CC(=C2)[S+]([O-])(=O)NC(C)(C)C)N=C(NC3=CC=C(CN4CCOCC4)C=C3)N=C1,TG-46,,NNJLBENMZUBXHU,Jak2 inhibitor,JAK2
NCGC00182868-02,O=C(NCCCCC1CCN(CC1)C(=O)C2=CC=CC=C2)\C=C\C3=CN=CC=C3,Daporinad;APO-866;FK-866,,KPBNHDGDUADAGP,NMPRTase Inhibitor,NAMPT
NCGC00242506-02,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)B(O)O,Bortezomib,,GXJABQQUPOEUTA,Proteasome Inhibitor,PSMD1
NCGC00160527-05,CCOC1=CC(=C(Cl)C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(F)C=C3)N,Mosapride citrate,,YPELFRMCRYSPKZ,5-HT4 Antagonists,HTR4
NCGC00164613-03,CC(=C/C1=CC=CC=C1)\C=C2/SC(=S)N(CC(O)=O)C2=O,Epalrestat,,CHNUOJQWGUIOLD,Aldose Reductase Inhibitor,AKR1B1
NCGC00263017-01,COC1=C(OC)C=C2C(=NC(=NC2=C1)C3=CC=C(C=C3)N4CCN(C)CC4)NCCN5CCOCC5,CPG-52364,,TUOZJWZCVIRDKO,"TLR 7, 8 and 9 antagonist",TLR7
NCGC00347954-01,CNC1CCC(CC1)N(CC2=CC=CC(=C2)C3=CC=NC=C3)C(=O)C4=C(Cl)C5=CC=CC=C5S4,,,VFSUUTYAEQOIMW,Hedgehog agonist,SHH
NCGC00345855-01,[O-][S+]1(=O)CCN(CC1)CC2=CC=C(C=C2)C3=CC=CC4=NC(=N[N]34)NC(=O)C5CC5,GPLG0634,,LFKRLUYNGIVHKD,Jak1 Inhibitor,JAK1
NCGC00346874-01,C[C@](CC1=C[NH]C2=CC=CC=C12)(NC(=O)OC3C4CC5CC(C4)CC3C5)C(=O)NC[C@H](NC(=O)CCC(O)=O)C6=CC=CC=C6,CI 988,,FVQSSYMRZKLFDR,CCK2 (CCKB/Gastrin) Antagonists,
NCGC00015149-15,CCCCNC1=CC(=CC(=C1OC2=CC=CC=C2)[S+](N)([O-])=O)C(O)=O,BUMETANIDE,,GXZSSBJRQQVGBT,Loop Diuretics,
NCGC00016879-07,CC(C)NC(=O)N[S+]([O-])(=O)C1=C(NC2=CC(=CC=C2)C)C=CN=C1,Torsemide (Demadex),,VJWSBMXKTXHWQQ,Loop Diuretics,
NCGC00182851-01,[C@@]42([C@H]([C@@H]1CCC=3[C@@]([C@H]1C(C2)=O)(\C=C/C(C=3)=O)C)C[C@@H]([C@@]4(C(=O)CO)O)C)C,Meprednisone,"meprednisonum;Betapar;CIPLUS_157972;meprednisone;Meprednisone;(16.BETA.)-17,21-DIHYDROXY-16-METHYLPREGNA-1,4-DIENE-3,11,20-TRIONE;Meprednisona;MEPREDNISONE;Meprendisone;Meprednisonum;16-methylprednisone;Bitanisone;PREGNA-1,4-DIENE-3,11,20-TRIONE, 17,21-DIHYDROXY-16-METHYL-, (16.BETA.)-;LS-118513;",PIDANAQULIKBQS,Glucocorticoid steroid,
NCGC00182045-02,OC[C@H]1O[C@H](C[C@@H]1O)[N]2C=NC3=C2\N=C/NC[C@H]3O,Pentostatin;CI-825;CL-67310465;Coforin;NSC-218321;Nipent;Oncopent;PD-81565;YK-176,,FPVKHBSQESCIEP,Adenosine Deaminase Inhibitor,ADA
NCGC00346740-01,CCOC1=C(OCCNC(C)CC2=CC=C(OC)C(=C2)[S+](N)([O-])=O)C=CC=C1,Tamsulosin hydrochloride,,WQZOWNCWWCPWHL,alpha1-Adrenoceptor Antagonists,ADRA1A
NCGC00015036-08,NC12CC3CC(CC(C3)C1)C2,,AMANTaDINE,DKNWSYNQZKUICI,Dopamine Receptor Agonist,DRD1
NCGC00242491-02,BrC1=CC=CC=C1NC(=O)NC2=C3N=N[NH]C3=C(C=C2)C#N,SB 265610,,SEDUMQWZEOMXSO,CXCR2 Antagonist,CXCR2
NCGC00346695-01,CN(C[C@@H]1COCCO1)[S+]([O-])(=O)NC2=CC3=C(C=C2)\C=C/C4=C(C=C(C=N4)C5=C[N](C)N=C5)C3=O,MK-2461,,CNIPSLYLSVCVKY,VEGFR-1 (Flt-1) Inhibitors,FLT1
NCGC00346431-01,CN(CC#C)C/C1=C/C2=CC=CC=C2OC3=CC=CC=C13,CGP 3466B maleate;omigapil,,QLMMOGWZCFQAPU,Glyceraldehyde 3-phosphate Dehydrogenase (GAPDH) Inhibitors,GAPDH
NCGC00346538-01,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H]3O[C@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(O)=O)O[C@@H]4O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O,Natamycin (Pimaricin),,NCXMLFZGDNKEPB,Antifungal Agent,
NCGC00015159-06,C2CC2COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,Betaxolol,"SL-75.212-10;LS-122006;LS-122005;LS-178489;CIPLUS_739710;NCGC00093669-01;NCGC00015159-01;LS-178203;betaxololum;HS_187;2-PROPANOL, 1-(4-(2-(CYCLOPROPYLMETHOXY)ETHYL)PHENOXY)-3-((1-METHYLETHYL)AMINO)-, (2S)-, HYDROCHLORIDE;(S)-BETAXOLOL HYDROCHLORIDE;NCGC_Prestw-382;betaxolol;Betaxololum;betoptic;Betaxolol;LS-172312;AL-1577A;CIPLUS_685261;2-PROPANOL, 1-(4-(2-(CYCLOPROPYLMETHOXY)ETHYL)PHENOXY)-3-((1-METHYLETHYL)AMINO)-, (2S)-;PILOCARPINE HYDROCHLORIDE;(2S)-1-(4-(2-(CYCLOPROPYLMETHOXY)ETHYL)PHENOXY)-3-(ISOPROPYLAMINO)PROPAN-2-OL;CIPLUS_184767;Betaxolol Hydrochloride;HS_774;BETAXOLOL HYDROCHLORIDE;CIPLUS_728134;CIPLUS_196933;ALO-1401-02;Betaxolo Hydrochloride;2-PROPANOL, 1-(4-(2-(CYCLOPROPYLMETHOXY)ETHYL)PHENOXY)-3-((1-METHYLETHYL)AMINO)-, HYDROCHLORIDE, (S)-;Betoptic;WHO NO. 4530;LEVOBETAXOLOL;Levobetaxolol Hydrochloride;NCGC00024863-01;LS-178569;NCGC00024863-04;NCGC00016904-01;LEVOBETAXOLOL HYDROCHLORIDE;NCGC00024863-03;Kerlone;levobetaxolol;2-Propanol, 1-(4-(2-(cyclopropylmethoxy)ethyl)phenoxy)-3-((1-methylethyl)amino)-;CHLORTHALIDONE;Levobetaxolol hydrochloride;SL 75212;Betaxolol hydrochloride;BETAXOLOL;levobetaxololum;Levobetaxolol;1-(4-(2-(CYCLOPROPYLMETHOXY)ETHYL)PHENOXY)-3-((1-METHYLETHYL)AMINO)-2-PROPANOL HYDROCHLORIDE, DL-;",NWIUTZDMDHAVTP,beta1-Adrenoceptor Antagonists,ADRB1
NCGC00346512-01,CN\1C(=O)/C(=C(\N=C1N2CCCC[S+]2([O-])=O)C(=O)NCC3=CC=C(F)C=C3)O,BMS-707035,,QGVZPVNRMGXYBR,HIV Integrase Inhibitors,
NCGC00345810-01,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2CCC(O)NC2=O,Tetrahydrouridine,,UCKYOOZPSJFJIZ,Cytidine Deaminase Inhibitors,CDA
