,HTR2A,G9
alpha1-Adrenoceptor Antagonists,NCGC00015718-06,ADRA1A,G8
alpha1-Adrenoceptor Antagonists,NCGC00015718-06,ADRA1A,G9
alpha1-Adrenoceptor Antagonists,NCGC00015718-06,STAT3,C8
STAT-3 Inhibitor,NCGC00015735-12,STAT3,D10
STAT-3 Inhibitor,NCGC00015735-12,STAT3,F2
STAT-3 Inhibitor,NCGC00015735-12,STAT3,G8
STAT-3 Inhibitor,NCGC00015735-12,STAT3,G9
STAT-3 Inhibitor,NCGC00015735-12,AR,G9
Androgen Receptor Antagonist,NCGC00015754-15,,F2
Muscarinic Antagonists,NCGC00015767-09,PDE10A,G8
Phosphodiesterase X (PDE10) inhibitor,NCGC00015810-13,PDE10A,G9
Phosphodiesterase X (PDE10) inhibitor,NCGC00015810-13,,F2
anti-arrythmia drug,NCGC00015819-11,,G8
anti-arrythmia drug,NCGC00015819-11,,G9
anti-arrythmia drug,NCGC00015819-11,,C8
ICAM1 Expression Inhibitors,NCGC00015840-09,,D10
ICAM1 Expression Inhibitors,NCGC00015840-09,,F2
ICAM1 Expression Inhibitors,NCGC00015840-09,,G8
ICAM1 Expression Inhibitors,NCGC00015840-09,,G9
ICAM1 Expression Inhibitors,NCGC00015840-09,DRD2,F2
Dopamine D2 Antagonist,NCGC00015856-08,DRD2,G8
Dopamine D2 Antagonist,NCGC00015856-08,DRD2,G9
Glutamate Release Inhibitor,NCGC00015882-09,DRD2,F2
Dopamine D2 Antagonist,NCGC00015883-08,DRD2,G8
Dopamine D2 Antagonist,NCGC00015883-08,DRD2,G9
Dopamine D2 Antagonist,NCGC00015883-08,,F2
Alkaloid anitpsychotic,NCGC00015888-04,,G8
Alkaloid anitpsychotic,NCGC00015888-04,,G9
Cyclooxygenase-2 Inhibitor,NCGC00015892-07,PDE4A,G8
cAMP Phosphodiesterase Inhibitors,NCGC00016023-17,PDE4A,G9
cAMP Phosphodiesterase Inhibitors,NCGC00016023-17,ADRA2A,F2
alpha2-Adrenoceptor Antagonists,NCGC00016035-12,ADRA2A,G9
Calcium Channel Blocker,NCGC00016083-13,CNR1,G9
Cannabinoid Receptor Agonist,NCGC00016210-06,MMP1,F2
MMP Inhibitor,NCGC00016246-12,PTP4A1,C8
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,D10
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,F2
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,G8
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,PTP4A1,G9
Protein Tyrosine Phosphatase (PTP) Inhibitors,NCGC00016526-11,,F2
antidiabetic drug,NCGC00016543-08,,G8
antidiabetic drug,NCGC00016543-08,,G9
Histamine H1 Receptor Antagonists,NCGC00016710-04,ADRA1A,F2
PPARalpha agonist,NCGC00016794-14,,G9
vasodilator,NCGC00016831-04,,C8
antiparasitic agent,NCGC00016855-11,,F2
ABCC3 Expression Enhancer,NCGC00016925-10,,F2
Antifungal Agent,NCGC00017112-11,,G9
Antifungal Agent,NCGC00017112-11,GBF1,C8
Golgi-Specific Brefeldin A-Resistance Guanine Nucleotide Exchange Factor 1 (GBF1) Inhibitors,NCGC00017254-02,GBF1,D10
Golgi-Specific Brefeldin A-Resistance Guanine Nucleotide Exchange Factor 1 (GBF1) Inhibitors,NCGC00017254-02,GBF1,G8
Golgi-Specific Brefeldin A-Resistance Guanine Nucleotide Exchange Factor 1 (GBF1) Inhibitors,NCGC00017254-02,HMGCR,C8
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,D10
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00017324-08,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00017324-08,,C8
Antifungal Agent,NCGC00017338-05,,D10
Antifungal Agent,NCGC00017338-05,,F2
Antifungal Agent,NCGC00017338-05,,G8
Antifungal Agent,NCGC00017338-05,,G9
Antifungal Agent,NCGC00017338-05,NDUFAF1,C8
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,D10
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,F2
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,G8
NADH-Ubiquinone Oxidoreductase (Complex I) Inhibitor,NCGC00017358-14,NDUFAF1,G9
Calcium Channel Blocker,NCGC00018102-06,,F2
Treatment of Osteoporosis,NCGC00018139-08,,G9
Treatment of Osteoporosis,NCGC00018139-08,ADRA1A,F2
alpha1-Adrenoceptor Antagonists,NCGC00018158-08,ADRA1A,G8
alpha1-Adrenoceptor Antagonists,NCGC00018158-08,ADRA1A,G9
alpha1-Adrenoceptor Antagonists,NCGC00018158-08,,G9
Steroid hormone,NCGC00018176-04,HTR1A,G8
5-HT Reuptake Inhibitor,NCGC00018193-06,HTR1A,G9
5-HT Reuptake Inhibitor,NCGC00018193-06,,F2
Sodium channel inhibitor,NCGC00018204-11,,G8
Sodium channel inhibitor,NCGC00018204-11,,F2
Antifungal Agent,NCGC00018258-09,,F2
mitochondrial carnitine palmitoyltransferase-1 inhbitior,NCGC00018261-05,,G8
mitochondrial carnitine palmitoyltransferase-1 inhbitior,NCGC00018261-05,,G9
mitochondrial carnitine palmitoyltransferase-1 inhbitior,NCGC00018261-05,CYP19A1,F2
Aromatase Inhibitor,NCGC00018294-06,CYP19A1,G8
Aromatase Inhibitor,NCGC00018294-06,CYP19A1,G9
Aromatase Inhibitor,NCGC00018294-06,NR1I3,F2
Constitutive Androstane Receptor Agonist,NCGC00018296-08,NR1I3,G8
Constitutive Androstane Receptor Agonist,NCGC00018296-08,NR1I3,G9
Constitutive Androstane Receptor Agonist,NCGC00018296-08,ADA,C8
Adenosine Deaminase Inhibitor,NCGC00022567-08,ADA,D10
Adenosine Deaminase Inhibitor,NCGC00022567-08,ADA,F2
Adenosine Deaminase Inhibitor,NCGC00022567-08,ADA,G8
Corticosteroid,NCGC00023373-04,HMGCR,C8
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,D10
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00023509-14,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00023509-14,,C8
Antineoplastic Antibiotics,NCGC00024246-13,,D10
Antineoplastic Antibiotics,NCGC00024246-13,,F2
Antineoplastic Antibiotics,NCGC00024246-13,,G8
Antineoplastic Antibiotics,NCGC00024246-13,,G9
Antineoplastic Antibiotics,NCGC00024246-13,TOP2A,C8
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00024415-39,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00024415-39,ESR1,G9
Estrogen Receptor Antagonist,NCGC00024762-05,CYP19A1,F2
Aromatase Inhibitor,NCGC00025000-08,CYP19A1,G8
Aromatase Inhibitor,NCGC00025000-08,CYP19A1,G9
Aromatase Inhibitor,NCGC00025000-08,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00025029-05,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00025029-05,TACR2,G8
Tachykinin NK2 Antagonist,NCGC00025092-02,TACR2,G9
Tachykinin NK2 Antagonist,NCGC00025092-02,PGR,D10
Progesterone Receptor Antagonist,NCGC00025179-13,PGR,G9
Progesterone Receptor Antagonist,NCGC00025179-13,PAR1,F2
PAR1 Antagonist,NCGC00025225-02,PAR1,G8
PAR1 Antagonist,NCGC00025225-02,PAR1,G9
PAR1 Antagonist,NCGC00025225-02,LTA4H,F2
Leukotriene A4 Hydrolase Inhibitor,NCGC00025323-01,LTA4H,G8
Leukotriene A4 Hydrolase Inhibitor,NCGC00025323-01,TBXA2R,F2
Prostanoid TP Antagonist,NCGC00025325-03,TBXA2R,G8
Prostanoid TP Antagonist,NCGC00025325-03,TBXA2R,G9
Prostanoid TP Antagonist,NCGC00025325-03,HTR1A,G9
5-HT Reuptake Inhibitor,NCGC00025355-11,ESR1,F2
Estrogen Receptor (ER) Agonist,NCGC00090749-11,PRKDC,F2
DNA-Directed RNA Polymerase Inhibitor,NCGC00090762-03,PRKDC,G8
DNA-Directed RNA Polymerase Inhibitor,NCGC00090762-03,PRKDC,G9
DNA-Directed RNA Polymerase Inhibitor,NCGC00090762-03,,G8
HIV Protease Inhibitors,NCGC00090782-07,,G9
HIV Protease Inhibitors,NCGC00090782-07,,G8
Macrolide Antibiotic,NCGC00090808-03,,G9
Macrolide Antibiotic,NCGC00090808-03,CYP19A1,D10
Aromatase Inhibitor,NCGC00091009-05,CYP19A1,F2
Aromatase Inhibitor,NCGC00091009-05,CYP19A1,G9
P-Glycoprotein (MDR-1) Inhibitor,NCGC00091057-06,,C8
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,D10
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,F2
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,G8
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,,G9
TNFR1 (p55/CD120a) Modulator,NCGC00091112-08,ESR1,G9
Estrogen Receptor (ER) Agonist,NCGC00091544-08,RARG,C8
RARgamma Agonist,NCGC00092284-03,RARG,D10
RARgamma Agonist,NCGC00092284-03,RARG,F2
RARgamma Agonist,NCGC00092284-03,RARG,G8
RARgamma Agonist,NCGC00092284-03,MAP2K1,D10
Mek 1/2 inhibitor,NCGC00092290-03,MAP2K1,F2
Mek 1/2 inhibitor,NCGC00092290-03,MAP2K1,G8
Mek 1/2 inhibitor,NCGC00092290-03,MAP2K1,G9
Mek 1/2 inhibitor,NCGC00092290-03,AKT1,D10
PKB/Akt Inhibitor,NCGC00092314-04,AKT1,F2
PKB/Akt Inhibitor,NCGC00092314-04,AKT1,G8
PKB/Akt Inhibitor,NCGC00092314-04,AKT1,G9
PKB/Akt Inhibitor,NCGC00092314-04,GRIN2A,G9
NMDA Antagonist,NCGC00092329-01,GRM1,F2
mgluR1 Antagonists,NCGC00092375-02,GRM1,G8
mgluR1 Antagonists,NCGC00092375-02,GRM1,G9
mgluR1 Antagonists,NCGC00092375-02,ADK,G8
Adenosine Kinase Inhibitor,NCGC00092381-03,ADK,G9
Androgen Receptor Antagonist,NCGC00093560-06,TOP2A,C8
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,D10
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,F2
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,G8
DNA Topoisomerase II Inhibitors,NCGC00093976-06,TOP2A,G9
DNA Topoisomerase II Inhibitors,NCGC00093976-06,AKR1C1,C8
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,D10
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,F2
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,G8
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,AKR1C1,G9
17-betahydroxysteroid dehydrogenase inhibitor,NCGC00094818-08,WNT1,C8
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,D10
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,F2
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,G8
Anticoccidial/Antibacterial,NCGC00095055-03,WNT1,G9
Anticoccidial/Antibacterial,NCGC00095055-03,PDE5A,G8
Phosphodiesterase V (PDE5) inhibitor,NCGC00095099-04,PDE5A,G9
Phosphodiesterase V (PDE5) inhibitor,NCGC00095099-04,,F2
5-HT Reuptake Inhibitor,NCGC00095109-06,HTR4,G9
5-HT4 Partial Agonists,NCGC00095192-06,EGFR,C8
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00159455-04,,G8
HIV Protease Inhibitors,NCGC00159461-03,,G9
Angiotensin-I Converting Enzyme Inhibitor,NCGC00159509-02,HTR2A,F2
5-HT1A/2A Antagonists?,NCGC00159510-04,HTR2A,G8
5-HT1A/2A Antagonists?,NCGC00159510-04,HTR2A,G9
5-HT1A/2A Antagonists?,NCGC00159510-04,CALM1,F2
Calmodulin Antagonist,NCGC00159544-02,CALM1,G8
Selective Estrogen Receptor Modulators (SERM),NCGC00160530-03,HMGCR,D10
HMG-CoA Reductase Inhibitor,NCGC00160531-01,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00160531-01,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00160531-01,HMGCR,G9
HMG-CoA Reductase Inhibitor,NCGC00160531-01,OPRL1,F2
ORL1 (OP4_:_ NOP) Antagonists,NCGC00161418-02,OPRL1,G8
ORL1 (OP4_:_ NOP) Antagonists,NCGC00161418-02,PSMD1,C8
Proteasome Inhibitor,NCGC00161679-01,PSMD1,D10
Proteasome Inhibitor,NCGC00161679-01,PSMD1,F2
Proteasome Inhibitor,NCGC00161679-01,PSMD1,G8
Proteasome Inhibitor,NCGC00161679-01,PSMD1,G9
Proteasome Inhibitor,NCGC00161679-01,AKT1,F2
PKB/Akt Inhibitor,NCGC00162073-05,AKT1,G8
PKB/Akt Inhibitor,NCGC00162073-05,AKT1,G9
Phosphodiesterase III (PDE3) Inhibitor,NCGC00162385-05,ADH1A,C8
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,D10
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,F2
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,G8
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,ADH1A,G9
Alcohol Dehydrogenase Inhibitor,NCGC00162423-04,HDAC1,C8
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,D10
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,F2
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,G8
HDAC1 Inhibitor,NCGC00162453-10,HDAC1,G9
PPARgamma Agonists?,NCGC00163128-07,CAMKK2,F2
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00163381-04,CAMKK2,G8
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00163381-04,CAMKK2,G9
Calmodulin-Dependent Protein Kinase II Inhibitors,NCGC00163381-04,HSP90AB1,C8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,D10
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00163424-03,,G8
Macrolide Antibiotic,NCGC00163470-09,SMO,G8
Smo Receptor Antagonist,NCGC00163474-05,,C8
Antineoplastic Antibiotics,NCGC00163548-02,,D10
Antineoplastic Antibiotics,NCGC00163548-02,,F2
Antineoplastic Antibiotics,NCGC00163548-02,,G8
Antineoplastic Antibiotics,NCGC00163548-02,,G9
Selective Estrogen Receptor Modulators (SERM),NCGC00164385-04,CYSLTR1,F2
Leukotriene CysLT1 (LTD4) Antagonist,NCGC00164547-06,CYSLTR1,G8
Serotonin Transporter (SERT) Inhibitor,NCGC00164559-04,HMGCR,C8
HMG-CoA Reductase Inhibitor,NCGC00164566-02,HMGCR,F2
HMG-CoA Reductase Inhibitor,NCGC00164566-02,HMGCR,G8
HMG-CoA Reductase Inhibitor,NCGC00164566-02,,F2
HIV Protease Inhibitors,NCGC00164576-03,,G8
HIV Protease Inhibitors,NCGC00164576-03,,C8
antimalarial agents,NCGC00164600-03,,D10
antimalarial agents,NCGC00164600-03,,F2
antimalarial agents,NCGC00164600-03,,G8
antimalarial agents,NCGC00164600-03,,G9
antimalarial agents,NCGC00164600-03,HMGCR,C8
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,D10
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,F2
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,G8
HMG-CoA Reductase Inhibitors,NCGC00164604-03,HMGCR,G9
HMG-CoA Reductase Inhibitors,NCGC00164604-03,FLT1,C8
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,FLT1,F2
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,FLT1,G8
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,FLT1,G9
VEGFR-1/2/3 Inhibitor,NCGC00164631-03,,G9
Estrogen Receptor Antagonist,NCGC00164789-05,,F2
TGF-bR1 (ALK5) inhibitor,NCGC00165721-02,,G8
TGF-bR1 (ALK5) inhibitor,NCGC00165721-02,,G9
AKT 1/2 Inhibitor,NCGC00165727-02,ACE,F2
Angiotensin-I Converting Enzyme Inhibitor,NCGC00165740-04,ACE,G8
Angiotensin-I Converting Enzyme Inhibitor,NCGC00165740-04,ACE,G9
cardiomyocytes differentiation initiator,NCGC00165770-03,PPARA,G8
PPARalpha Antagonist,NCGC00165799-02,PPARA,G9
PPARalpha Antagonist,NCGC00165799-02,IKBKB,C8
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,D10
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,F2
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,G8
IKK-2 Inhibitor,NCGC00165811-03,IKBKB,G9
FGFR 1/3 inhibitor,NCGC00165863-02,SIGMAR1,F2
sigma1/2 Receptor Agonist,NCGC00165875-03,SIGMAR1,G8
sigma1/2 Receptor Agonist,NCGC00165875-03,SIGMAR1,G9
sigma1/2 Receptor Agonist,NCGC00165875-03,ADORA3,C8
Adenosine A3 Antagonists,NCGC00165880-04,ADORA3,D10
Adenosine A3 Antagonists,NCGC00165880-04,ADORA3,G8
Adenosine A3 Antagonists,NCGC00165880-04,ADORA3,G9
Adenosine A3 Antagonists,NCGC00165880-04,,D10
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,,F2
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,,G8
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,,G9
TGF-bR1 (ALK4/5) Inhibitor,NCGC00165889-02,,G8
TGF-bR1 (ALK5) Inhibitor,NCGC00165898-02,MET,F2
HGFR (MET; c-Met) Inhibitor,NCGC00165902-02,MET,G8
HGFR (MET; c-Met) Inhibitor,NCGC00165902-02,MET,G9
antimalarial agents,NCGC00166281-02,RASAL1,C8
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,D10
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,F2
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,G8
Dual RASGAP/Erk inhibitor,NCGC00167403-03,RASAL1,G9
Dual RASGAP/Erk inhibitor,NCGC00167403-03,,F2
Antifungal Agent,NCGC00167430-03,,G9
Antifungal Agent,NCGC00167430-03,,F2
antimalarial agents,NCGC00167490-02,,G8
antimalarial agents,NCGC00167490-02,,G9
antimalarial agents,NCGC00167490-02,,C8
antimalarial agents,NCGC00167496-02,,D10
antimalarial agents,NCGC00167496-02,,F2
antimalarial agents,NCGC00167496-02,,G8
antimalarial agents,NCGC00167496-02,,G9
antimalarial agents,NCGC00167496-02,TOP2A,C8
DNA Topoisomerase II Inhibitors,NCGC00167503-02,,G8
Macrolide Antibiotic,NCGC00167506-03,,G9
Macrolide Antibiotic,NCGC00167506-03,EGFR,C8
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,D10
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,F2
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,G8
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,G9
EGFR (HER1; erbB1) inhibitor,NCGC00167507-03,EGFR,D10
EGFR (HER1; erbB1) Inhibitor,NCGC00167513-03,EGFR,F2
EGFR (HER1; erbB1) Inhibitor,NCGC00167513-03,EGFR,G8
EGFR (HER1; erbB1) Inhibitor,NCGC00167513-03,,G8
Antibacterial,NCGC00167532-01,IKBKB,G8
IKK1_:_ IKK-2_:_ IKK complex inhibitor,NCGC00167767-03,CASP3,D10
Procaspase 3 Activator,NCGC00167785-02,CASP3,F2
Procaspase 3 Activator,NCGC00167785-02,CASP3,G8
Procaspase 3 Activator,NCGC00167785-02,CASP3,G9
Procaspase 3 Activator,NCGC00167785-02,ADRB1,F2
beta1-Adrenoceptor Antagonists,NCGC00167832-04,ADRB1,G8
beta1-Adrenoceptor Antagonists,NCGC00167832-04,ADRB1,G9
beta1-Adrenoceptor Antagonists,NCGC00167832-04,,F2
Ketolide antibiotic,NCGC00167967-01,,G8
Ketolide antibiotic,NCGC00167967-01,,G9
GEF inhibitor,NCGC00168109-01,PDE4A,F2
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00168459-04,PDE4A,G9
Phosphodiesterase IIII (PDE4) inhibitor,NCGC00168459-04,,F2
HIV Protease Inhibitors,NCGC00168773-01,,G8
HIV Protease Inhibitors,NCGC00168773-01,,G9
Phosphodiesterase V (PDE5) inhibitor,NCGC00168781-01,RRM2,C8
ribonucleotide reductase inhibitor,NCGC00168784-01,RRM2,D10
ribonucleotide reductase inhibitor,NCGC00168784-01,RRM2,F2
antiprotozoal agent,NCGC00168785-02,,D10
K+/ATP Signaling Inhibitor,NCGC00173359-06,,F2
K+/ATP Signaling Inhibitor,NCGC00173359-06,,G8
K+/ATP Signaling Inhibitor,NCGC00173359-06,,G9
Histamine H1 Receptor Antagonists,NCGC00177979-03,ACE,C8
Angiotensin-I Converting Enzyme Inhibitor,NCGC00178127-04,ACE,G8
Angiotensin-I Converting Enzyme Inhibitor,NCGC00178127-04,ACE,G9
Angiotensin-I Converting Enzyme Inhibitor,NCGC00178127-04,HSP90AB1,C8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,D10
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,F2
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,G8
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,HSP90AB1,G9
Heat Shock Protein 90 (hsp90) Inhibitor,NCGC00178913-04,,D10
PRL Phosphatase Inhibitors,NCGC00179034-08,,F2
PRL Phosphatase Inhibitors,NCGC00179034-08,,G9
PRL Phosphatase Inhibitors,NCGC00179034-08,,F2
5-HT3 Antagonists,NCGC00179341-02,,C8
Polyether Antibiotic,NCGC00179454-04,,F2
Polyether Antibiotic,NCGC00179454-04,,G8
Polyether Antibiotic,NCGC00179454-04,,G9
Polyether Antibiotic,NCGC00179454-04,,F2
Antifungal Agent,NCGC00179596-04,,G9
Antifungal Agent,NCGC00179596-04,,F2
Antifungal Agent,NCGC00179642-04,,G8
Antifungal Agent,NCGC00179642-04,,G9
Antifungal Agent,NCGC00179642-04,,G9
Glucocorticoid steroid,NCGC00179649-07,CYSLTR1,F2
Leukotriene CysLT1/2 (LTD4) Antagonist,NCGC00181765-01,CYSLTR1,G9
Leukotriene CysLT1/2 (LTD4) Antagonist,NCGC00181765-01,HTR1B,C8
5-HT1B Agonist,NCGC00181786-03,HTR1B,D10
5-HT1B Agonist,NCGC00181786-03,HTR1B,G8
5-HT1B Agonist,NCGC00181786-03,HTR1B,G9
Angiotensin-I Converting Enzyme Inhibitor,NCGC00182037-01,SYK,F2
Syk Kinase inhibitor,NCGC00182051-02,SYK,G8
Syk Kinase inhibitor,NCGC00182051-02,SYK,G9
Syk Kinase inhibitor,NCGC00182051-02,SIRT1,F2
Chemokine CCR5 Antagonist,NCGC00182549-02,,F2
HIV Protease Inhibitors,NCGC00182552-03,,G8
HIV Protease Inhibitors,NCGC00182552-03,,G9
